일자, 영업소명, 방향구분,영업소코드, 기점종점방향구분코드, 당일교통량, 전주교통량, 전전주교통량, 전월평균교통량, 전년동주교통량, 전년평균교통량
20190408,구리남양주,지방방향,6,3,99469,97687,100450,92827,97375,95734
20190409,구리남양주,서울방향,6,2,102438,103256,104928,94158,106725,99867
20190409,구리남양주,지방방향,6,3,98489,100239,98660,92827,98170,95734
20190410,구리남양주,서울방향,6,2,102341,103697,104597,94158,105216,99867
20190410,구리남양주,지방방향,6,3,98797,100896,102158,92827,98411,95734
20190411,구리남양주,지방방향,6,3,101676,102410,101767,92827,91396,95734
20190412,구리남양주,서울방향,6,2,110346,110908,111012,94158,111981,99867
20190412,구리남양주,지방방향,6,3,109214,105460,108004,92827,97621,95734
20190413,구리남양주,지방방향,6,3,101414,98352,97025,92827,98850,95734
20190423,구리남양주,서울방향,6,2,105992,105511,102438,94158,106508,99867
20190414,구리남양주,서울방향,6,2,82489,93258,86776,94158,88839,99867
20190414,구리남양주,지방방향,6,3,84911,95024,90535,92827,87203,95734
20190415,구리남양주,서울방향,6,2,103653,102520,101490,94158,104246,99867
20190415,구리남양주,지방방향,6,3,101747,99469,97687,92827,97050,95734
20190425,구리남양주,서울방향,6,2,102881,105634,106366,94158,107733,99867
20190416,구리남양주,서울방향,6,2,105511,102438,103256,94158,106434,99867
20190416,구리남양주,지방방향,6,3,101776,98489,100239,92827,98862,95734
20190417,구리남양주,서울방향,6,2,106669,102341,103697,94158,105645,99867
20190417,구리남양주,지방방향,6,3,102348,98797,100896,92827,98583,95734
20190427,구리남양주,서울방향,6,2,105682,103666,106577,94158,108423,99867
20190418,구리남양주,서울방향,6,2,105634,106366,105928,94158,108028,99867
20190418,구리남양주,지방방향,6,3,99903,101676,102410,92827,96373,95734
20190428,구리남양주,서울방향,6,2,90425,87664,82489,94158,86994,99867
20190419,구리남양주,서울방향,6,2,110182,110346,110908,94158,112611,99867
20190419,구리남양주,지방방향,6,3,107113,109214,105460,92827,107643,95734
20190420,구리남양주,서울방향,6,2,103666,106577,103473,94158,97464,99867
20190420,구리남양주,지방방향,6,3,100964,101414,98352,92827,88508,95734
20190421,구리남양주,서울방향,6,2,87664,82489,93258,94158,90777,99867
20190421,구리남양주,지방방향,6,3,90938,84911,95024,92827,91157,95734
